YEAR,COUNTY,MSSA_ID,MSSA_NAME,MSSA_TYPE,Race_ethnicity,Population,Adolescent_births,Indicator,Annotation,Indicator_rate,Indicator_ll,Indicator_ul
2010-2012,Modoc,100,Adin/Lookout/Newell,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Modoc,100,Adin/Lookout/Newell,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Modoc,100,Adin/Lookout/Newell,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Modoc,100,Adin/Lookout/Newell,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Modoc,100,Adin/Lookout/Newell,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Modoc,100,Adin/Lookout/Newell,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Mono,102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,Frontier,ASIAN,10,0,ABR,,0,,
2010-2012,Mono,102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,Frontier,ASIAN,10,0,PRB,,0,,
2010-2012,Mono,102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,Frontier,ASIAN,10,0,PBHP,,0,,
2010-2012,Mono,102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Mono,102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Mono,102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Mono,103,Mammoth Lakes,Rural,ASIAN,13,0,ABR,,0,,
2010-2012,Mono,103,Mammoth Lakes,Rural,ASIAN,13,0,PRB,,0,,
2010-2012,Mono,103,Mammoth Lakes,Rural,ASIAN,13,0,PBHP,,0,,
2010-2012,Mono,103,Mammoth Lakes,Rural,BLACK,0,0,ABR,,0,,
2010-2012,Mono,103,Mammoth Lakes,Rural,BLACK,0,0,PRB,,0,,
2010-2012,Mono,103,Mammoth Lakes,Rural,BLACK,0,0,PBHP,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,ALL,136,0,ABR,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,ALL,136,0,PRB,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,ALL,136,0,PBHP,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,HISP,49,0,ABR,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,HISP,49,0,PRB,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,HISP,49,0,PBHP,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,WHITE,78,0,ABR,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,WHITE,78,0,PRB,,0,,
2010-2012,Monterey,104,Big Sur/Lucia,Frontier,WHITE,78,0,PBHP,,0,,
2010-2012,Monterey,105,King City/San Lucas,Rural,ASIAN,27,0,ABR,,0,,
